"date","utah"
"2017-02-26","5"
"2017-03-05","5"
"2017-03-12","4"
"2017-03-19","4"
"2017-03-26","3"
"2017-04-02","3"
"2017-04-09","3"
"2017-04-16","4"
"2017-04-23","3"
"2017-04-30","6"
"2017-05-07","5"
"2017-05-14","9"
"2017-05-21","16"
"2017-05-28","11"
"2017-06-04","9"
"2017-06-11","13"
"2017-06-18","11"
"2017-06-25","8"
"2017-07-02","6"
"2017-07-09","7"
"2017-07-16","6"
"2017-07-23","9"
"2017-07-30","12"
"2017-08-06","10"
"2017-08-13","17"
"2017-08-20","12"
"2017-08-27","14"
"2017-09-03","14"
"2017-09-10","16"
"2017-09-17","11"
"2017-09-24","8"
"2017-10-01","9"
"2017-10-08","14"
"2017-10-15","15"
"2017-10-22","14"
"2017-10-29","21"
"2017-11-05","23"
"2017-11-12","30"
"2017-11-19","24"
"2017-11-26","64"
"2017-12-03","90"
"2017-12-10","91"
"2017-12-17","100"
"2017-12-24","59"
"2017-12-31","46"
"2018-01-07","42"
"2018-01-14","54"
"2018-01-21","34"
"2018-01-28","34"
"2018-02-04","42"
"2018-02-11","21"
"2018-02-18","21"
"2018-02-25","18"
"2018-03-04","20"
"2018-03-11","17"
"2018-03-18","16"
"2018-03-25","14"
"2018-04-01","16"
"2018-04-08","14"
"2018-04-15","11"
"2018-04-22","13"
"2018-04-29","11"
"2018-05-06","12"
"2018-05-13","8"
"2018-05-20","10"
"2018-05-27","10"
"2018-06-03","8"
"2018-06-10","11"
"2018-06-17","9"
"2018-06-24","10"
"2018-07-01","8"
"2018-07-08","8"
"2018-07-15","10"
"2018-07-22","12"
"2018-07-29","11"
"2018-08-05","12"
"2018-08-12","11"
"2018-08-19","9"
"2018-08-26","9"
"2018-09-02","9"
"2018-09-09","8"
"2018-09-16","7"
"2018-09-23","7"
"2018-09-30","6"
"2018-10-07","6"
"2018-10-14","7"
"2018-10-21","6"
"2018-10-28","5"
"2018-11-04","5"
"2018-11-11","9"
"2018-11-18","12"
